source,steam_id,name,release_date,year,is_free,price,currency,metacritic,recommendations,genres,developers,publishers
itch,,VamosÂ³ a la marcha,,Unknown,True,0.0,USD,,0,Action,BMouse,Self-published
itch,,TacosTacosTacos,,Unknown,True,0.0,USD,,0,Unknown,inmortalrobin,Self-published
itch,,Manuel Rodriguez: Operaciones Especiales (VersiÃ³n PC),,Unknown,True,0.0,USD,,0,Educational,Rolando Chaparro Gehren,Self-published
itch,,Landschaften,,Unknown,True,0.0,USD,,0,Adventure,GaboTroncosoDev,Self-published
itch,,The Operator Game Jam 2020,,Unknown,True,0.0,USD,,0,Action,chelosky,Self-published
itch,,Entropy,,Unknown,True,0.0,USD,,0,Simulation,vranco.3gp,Self-published
itch,,El Rey del Volantin,,Unknown,True,0.0,USD,,0,Platformer,Krypth,Self-published
itch,,Graffiti Run,,Unknown,True,0.0,USD,,0,Action,StivArts,Self-published
itch,,Informe Zenteno,,Unknown,True,0.0,USD,,0,Adventure,Dreamhouse Games,Self-published
itch,,ArmonÃ­a,,Unknown,True,0.0,USD,,0,Visual Novel,m1up,Self-published
itch,,Pancito Simulator: Breadtastic Love Story,,Unknown,True,0.0,USD,,0,Visual Novel,Pancito Simulator Team,Self-published
itch,,Roboto Mega Force Trio,,Unknown,True,0.0,USD,,0,Platformer,lovvyvoy,Self-published
