game,genre,price_usd,copies_sold,revenue_usd,metacritic,year,developers,is_free,is_paid,has_metacritic
Shadow Past,Platformer,0.0,0,0.0,,Unknown,Hv Game Studio,True,False,False
FUCK! I LOST ALL MY WEED AND NOW I HAVE TO GET IT BACK OR ELSE THE WEED DEMON WILL STEAL MY SOUL: The Game: The Movie,Unknown,0.0,0,0.0,,Unknown,*insert name*,True,False,False
"""Quiero ser un mito""",Visual Novel,0.0,0,0.0,,Unknown,Reliash,True,False,False
What would you do?,Interactive Fiction,0.0,0,0.0,,Unknown,Sara01,True,False,False
La Iglesia de la Noche,Unknown,0.0,0,0.0,,Unknown,Throndev,True,False,False
Hirokae,Adventure,0.0,0,0.0,,Unknown,AkiJaline,True,False,False
La sociedad de la nieve,Survival,0.0,0,0.0,,Unknown,marcelozarate,True,False,False
La Conquista,Action,0.0,0,0.0,,Unknown,Forxiga,True,False,False
CHOLITO,Simulation,0.0,0,0.0,,Unknown,pablocelva,True,False,False
El Trompo y el PingÃ¼ino,Platformer,0.0,0,0.0,,Unknown,b_28282,True,False,False
CapitÃ¡n Arturo,Unknown,0.0,0,0.0,,Unknown,Route5Games,True,False,False
Cherry Y La FusiÃ³n Prohibida,Adventure,0.0,0,0.0,,Unknown,Nikozuki,True,False,False
Walter is Coming,Adventure,0.0,0,0.0,,Unknown,Misulas,True,False,False
Carnivile,Unknown,0.0,0,0.0,,Unknown,VangelPix,True,False,False
Dreamnesthesia,Unknown,0.0,0,0.0,,Unknown,Merge Branch Games,True,False,False
Negro Matapacos,Action,0.0,0,0.0,,Unknown,Nemoris Games,True,False,False
Battle Power Ultra,Action,0.0,0,0.0,,Unknown,Juan Pablo Vargas Seguel (Champol),True,False,False
Corrupted CHICKEN Soul,Platformer,0.0,0,0.0,,Unknown,alvaromorenou,True,False,False
VamosÂ³ a la marcha,Action,0.0,0,0.0,,Unknown,BMouse,True,False,False
TacosTacosTacos,Unknown,0.0,0,0.0,,Unknown,inmortalrobin,True,False,False
Manuel Rodriguez: Operaciones Especiales (VersiÃ³n PC),Educational,0.0,0,0.0,,Unknown,Rolando Chaparro Gehren,True,False,False
Landschaften,Adventure,0.0,0,0.0,,Unknown,GaboTroncosoDev,True,False,False
The Operator Game Jam 2020,Action,0.0,0,0.0,,Unknown,chelosky,True,False,False
Entropy,Simulation,0.0,0,0.0,,Unknown,vranco.3gp,True,False,False
El Rey del Volantin,Platformer,0.0,0,0.0,,Unknown,Krypth,True,False,False
Graffiti Run,Action,0.0,0,0.0,,Unknown,StivArts,True,False,False
Informe Zenteno,Adventure,0.0,0,0.0,,Unknown,Dreamhouse Games,True,False,False
ArmonÃ­a,Visual Novel,0.0,0,0.0,,Unknown,m1up,True,False,False
Pancito Simulator: Breadtastic Love Story,Visual Novel,0.0,0,0.0,,Unknown,Pancito Simulator Team,True,False,False
Roboto Mega Force Trio,Platformer,0.0,0,0.0,,Unknown,lovvyvoy,True,False,False
