source,steam_id,name,release_date,year,is_free,price,currency,metacritic,recommendations,genres,developers,publishers,estimated_copies,price_usd,gross_revenue_est_usd,primary_genre,dev_location
steam,3920520.0,Mecha Survivors - Early Access,20 AGO 2025,2025,False,1900.0,CLP,,0,"Acción, Indie, Rol, Simuladores","Lowie Games SpA, Time Hunters SpA",Lowie Games SpA,0,2.0,0.0,Acción,Santiago
steam,3982510.0,Avoidthis,23 OCT 2025,2025,False,1900.0,CLP,,0,Indie,avoidthis_games,avoidthis_games,0,2.0,0.0,Indie,Chile (General)
steam,3997250.0,PaRoKuuu,Por confirmarse,Unknown,False,0.0,CLP,,0,"Casual, Indie, Estrategia",Xera Studios,Xera Studios,0,0.0,0.0,Casual,Chile (General)
steam,4007170.0,SAI: Servicio de Auxilio Inmediato,Próximamente,Unknown,False,0.0,CLP,,0,"Indie, Rol",Ando Ido Studio,Ando Ido Studio,0,0.0,0.0,Indie,Chile (General)
steam,4079810.0,Don Pepe y sus globos,2026,2026,False,0.0,CLP,,0,"Acción, Indie",Ibis Interactive,ibis interactive,0,0.0,0.0,Acción,Chile (General)
steam,4094120.0,Microlandia,3 DIC 2025,2025,False,4200.0,CLP,,0,Simuladores,Information Superhighway Games,Information Superhighway Games,0,4.42,0.0,Simuladores,Chile (General)
steam,4094820.0,Space Evolver,8 SEP 2026,2026,False,0.0,CLP,,0,"Indie, Rol, Estrategia",JoaKing,JoaKing,0,0.0,0.0,Indie,Chile (General)
steam,4149750.0,Stick Out!,febrero de 2026,2026,False,0.0,CLP,,0,"Acción, Aventura, Indie",ParallaxFox,ParallaxFox,0,0.0,0.0,Acción,Chile (General)
steam,4160010.0,Chromatic Battles,febrero de 2026,2026,False,0.0,CLP,,0,"Acción, Casual, Indie, Estrategia",NightWave Games,NightWave Games,0,0.0,0.0,Acción,Chile (General)
steam,434460.0,Rock of Ages 2: Bigger & Boulder™,28 AGO 2017,2017,False,6400.0,CLP,,2656,"Acción, Indie, Carreras, Estrategia",ACE Team,SEGA,106240,6.74,716057.6,Acción,Santiago
steam,457260.0,Omen of Sorrow,23 MAR 2023,2023,False,3960.0,CLP,,0,"Acción, Indie",AOne Games,Eastasiasoft Limited,0,4.17,0.0,Acción,Santiago
